day_of_year,Name,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2021-12-18,St George's Healthcare NHS Trust,0.945129985999396,0.9519038076152304,0.9383561643835616,937,998,876,886,950,822,0.7484276729559749,0.8301886792452831,0.6666666666666666,NA,NA,NA,NA,NA,NA
2021-12-18,St George's University Hospitals NHS Foundation Trust,0,0,0,825,844,825,801,829,779,0.9166666666666666,0.9666666666666667,0.9,297,355,288,108,141,106
2021-12-18,St Helens and Knowsley Hospital Services NHS Trust,0,0,0,677,677,677,662,662,662,1,1,1,313,313,313,111,111,111
2021-12-18,St Helens And Knowsley Hospital Services NHS Trust,0,0,0,666,666,666,657,657,657,1,1,1,364,364,364,154,154,154
2021-12-18,St Helens And Knowsley Hospitals NHS Trust,0.9634359191131352,0.9799691833590138,0.9469026548672567,663.5,678,649,639,642,636,0.9615384615384616,1,0.9230769230769231,NA,NA,NA,NA,NA,NA
2021-12-18,St Helens and Knowsley Teaching Hospitals NHS Trust,0,0,0,698,698,698,673,673,673,0.9285714285714286,0.9285714285714286,0.9285714285714286,362,362,362,136,136,136
2021-12-18,Stockport NHS Foundation Trust,0,0.9639519359145527,0,726,759,624,689,722,600,0.8461538461538461,1,0.7692307692307693,NA,NA,NA,NA,NA,NA
2021-12-18,Surrey and Sussex Healthcare NHS Trust,0,0,0,635,660,610,625,655,595,0.90625,0.9375,0.875,345.5,364,327,126,127,125
2021-12-18,Surrey And Sussex Healthcare NHS Trust,0.9741935483870968,0.998389694041868,0,621,622,620,604,620,603,1,1,0.9375,NA,NA,NA,NA,NA,NA
2021-12-18,Tameside and Glossop Integrated Care NHS Foundation Trust,0,0,0,428,440,416,412.5,429,396,0.7222222222222222,0.7777777777777778,0.6666666666666666,177,180,174,63,65,61
2021-12-18,Tameside And Glossop Integrated Care NHS Foundation Trust,0,0,0,428,428,428,427,427,427,0.8888888888888888,0.8888888888888888,0.8888888888888888,229,229,229,85,85,85
2021-12-18,Tameside Hospital NHS Foundation Trust,0.9765103577701321,0.9957173447537473,0.9573033707865168,456,467,445,445.5,465,426,0.9444444444444444,1,0.8888888888888888,NA,NA,NA,NA,NA,NA
2021-12-18,Taunton and Somerset NHS Foundation Trust,0,0,0,587.5,596,579,546,559,533,0.625,0.75,0.5,246,255,237,68.5,70,67
2021-12-18,Taunton And Somerset NHS Foundation Trust,0.8987566607460036,0.9541284403669725,0,563,570,545,520,527,506,0.5833333333333334,0.5833333333333334,0.5833333333333334,NA,NA,NA,NA,NA,NA
2021-12-18,The Christie NHS Foundation Trust,NA,NA,NA,179,179,179,146,146,146,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-18,The Dudley Group NHS Foundation Trust,0,0.9053497942386831,0,658,729,652,613,660,607,0.8695652173913043,1,0.6,NA,NA,NA,NA,NA,NA
2021-12-18,The Hillingdon Hospitals NHS Foundation Trust,1,1,0,387,446,340,387,445,340,1,1,0.7777777777777778,NA,NA,NA,NA,NA,NA
2021-12-18,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,0,0.8923766816143498,0,1531,1600,1520,1336,1393,1236,0.8023255813953488,0.8488372093023255,0.7528089887640449,NA,NA,NA,NA,NA,NA
2021-12-18,The Princess Alexandra Hospital NHS Trust,0,1,0,383,420,379,383,388,377,1,1,0.9,NA,NA,NA,NA,NA,NA
2021-12-18,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",0,0.9663461538461539,0,416,434,407,406,431,381,0.7692307692307693,2.3333333333333335,0.46153846153846156,NA,NA,NA,NA,NA,NA
2021-12-18,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0.6903409090909092,0.75,0.6306818181818182,162,176,148,111,111,111,0.5,0.75,0.25,NA,NA,NA,NA,NA,NA
2021-12-18,The Rotherham NHS Foundation Trust,0,0.9761336515513126,0,419,429,398,409,425,390,0.8333333333333334,1,0.6153846153846154,NA,NA,NA,NA,NA,NA
2021-12-18,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,0,0,0,583,583,583,524,534,514,0.7083333333333333,0.75,0.6666666666666666,247,248,246,83,84,82
2021-12-18,The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,0.8988580750407831,0.905693950177936,0,562,613,560,509,551,472,0.5833333333333334,0.6666666666666666,0.25,NA,NA,NA,NA,NA,NA
2021-12-18,The Royal Marsden NHS Foundation Trust,0.7179339401407051,0.7955801104972375,0.6402877697841727,160,181,139,116.5,144,89,0.625,0.8125,0.4375,NA,NA,NA,NA,NA,NA
2021-12-18,The Royal Wolverhampton NHS Trust,0,0.9219380888290714,0,753,761,732,685,690,678,0.6785714285714286,0.7857142857142857,0.6071428571428571,NA,NA,NA,NA,NA,NA
2021-12-18,The Walton Centre NHS Foundation Trust,0.9042456175904346,0.935251798561151,0.8732394366197183,140.5,142,139,127,130,124,0.775,0.8,0.75,NA,NA,NA,NA,NA,NA
2021-12-18,The Whittington Hospital NHS Trust,0.9702127659574468,1,0.9122807017543859,235,236,228,228,236,208,0.7333333333333333,0.8,0.7333333333333333,NA,NA,NA,NA,NA,NA
2021-12-18,Torbay and South Devon NHS Foundation Trust,0,0,0,368,372,364,349,353,345,0.65,0.9,0.4,116,121,111,27.5,31,24
2021-12-18,Torbay And South Devon NHS Foundation Trust,0,0,0,393,393,393,364,364,364,0.6,0.6,0.6,118,118,118,16,16,16
2021-12-18,United Lincolnshire Hospitals NHS Trust,0,0.9674465920651069,0,962,983,927,921,951,904,0.7419354838709677,0.9032258064516129,0.7096774193548387,NA,NA,NA,NA,NA,NA
2021-12-18,University College London Hospitals NHS Foundation Trust,0,0.725790987535954,0,988,1114,753,757,807,647,0.8125,0.8524590163934426,0.5846153846153846,NA,NA,NA,NA,NA,NA
2021-12-18,University Hospital Of South Manchester NHS Foundation Trust,0.8838357312308944,0.8963730569948186,0.8712984054669703,825,878,772,728.5,765,692,0.8177150192554556,0.9512195121951219,0.6842105263157895,NA,NA,NA,NA,NA,NA
2021-12-18,University Hospital Southampton NHS Foundation Trust,0,0.9691666666666666,0,1208,1227,1198,1163,1174,1090,0.9047619047619048,0.9682539682539683,0.8653846153846154,NA,NA,NA,NA,NA,NA
2021-12-18,University Hospitals Birmingham NHS Foundation Trust,0,0.9913957934990439,0,1069,2426,1046,1062,2342,1015,0.9315068493150684,0.9705882352941176,0.9104477611940298,NA,NA,NA,NA,NA,NA
2021-12-18,University Hospitals Bristol NHS Foundation Trust,0,0.9032258064516129,0,837,853,687,756,785,613,0.9090909090909091,1,0.8181818181818182,NA,NA,NA,NA,NA,NA
2021-12-18,University Hospitals Coventry and Warwickshire NHS Trust,0,0,0,1112.5,1116,1109,1092,1095,1089,0.972972972972973,0.972972972972973,0.972972972972973,442.5,530,355,183.5,220,147
2021-12-18,University Hospitals Coventry And Warwickshire NHS Trust,NA,NA,NA,1126.5,1141,1112,1105,1122,1088,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-18,University Hospitals of Derby and Burton NHS Foundation Trust,0,0,0,1401.5,1419,1384,1288.5,1340,1237,0.6818181818181819,0.7636363636363637,0.6,525.5,549,502,168,169,167
2021-12-18,University Hospitals of Leicester NHS Trust,0,0,0,1555,1586,1524,1475,1523,1427,0.7530864197530864,0.7901234567901234,0.7160493827160493,560,595,525,172.5,189,156
2021-12-18,University Hospitals Of Leicester NHS Trust,0.8816425120772947,0.917283950617284,0,1656,1665,1620,1486,1525,1460,0.675,0.75,0.625,NA,NA,NA,NA,NA,NA
2021-12-18,University Hospitals of Morecambe Bay NHS Foundation Trust,0,0,0,619,647,591,575,595,555,0.8571428571428572,0.9285714285714286,0.7857142857142857,277,288,266,106,118,94
2021-12-18,University Hospitals Of Morecambe Bay NHS Foundation Trust,0.9675141242937854,0.9770773638968482,0,698,708,643,682,685,625,0.9285714285714286,1,0.7857142857142857,NA,NA,NA,NA,NA,NA
2021-12-18,University Hospitals of North Midlands NHS Trust,0,0,0,1387,1440,1334,1337.5,1387,1288,0.8829268292682927,0.9,0.8658536585365854,580,604,556,199,203,195
2021-12-18,University Hospitals Of North Midlands NHS Trust,0.9565217391304348,0.9864559819413092,0,1334,1376,1329,1311,1359,1276,0.8414634146341463,0.85,0.8289473684210527,NA,NA,NA,NA,NA,NA
2021-12-18,University Hospitals Plymouth NHS Trust,0,0,0,835,846,824,818,838,798,0.8095238095238095,0.8809523809523809,0.7380952380952381,316,331,301,72,77,67
2021-12-18,Walsall Healthcare NHS Trust,0.9551401869158879,1,0,504,535,446,504,519,440,0.9230769230769231,1,0.6923076923076923,NA,NA,NA,NA,NA,NA
2021-12-18,Warrington and Halton Hospitals NHS Foundation Trust,0,0,0,521.5,540,503,476,498,454,0.8611111111111112,1,0.7222222222222222,254,265,243,95,98,92
2021-12-18,Warrington And Halton Hospitals NHS Foundation Trust,0.8802946593001841,0.9054290718038529,0,543,571,542,478,517,469,0.7222222222222222,1,0.6666666666666666,NA,NA,NA,NA,NA,NA
2021-12-18,West Hertfordshire Hospitals NHS Trust,0,0.9265367316341829,0,676,693,649,618,641,613,0.7894736842105263,1,0.631578947368421,NA,NA,NA,NA,NA,NA
2021-12-18,West Suffolk NHS Foundation Trust,0,0.9248826291079812,0,432,447,411,398,424,394,0.6666666666666666,0.7777777777777778,0.4444444444444444,NA,NA,NA,NA,NA,NA
2021-12-18,Western Sussex Hospitals NHS Foundation Trust,0,0.9834801762114538,0,899,918,830,850,899,778,0.9047619047619048,0.9090909090909091,0.6363636363636364,NA,NA,NA,NA,NA,NA
2021-12-18,Weston Area Health NHS Trust,1,1,0.984251968503937,262,269,248,262,269,248,0.8,1,0.6,NA,NA,NA,NA,NA,NA
2021-12-18,Whittington Health NHS Trust,0,0,0,242.5,265,220,236,257,215,0.9,0.9,0.9,95,105,85,29,32,26
2021-12-18,Wirral University Teaching Hospital NHS Foundation Trust,0,0.9899244332493703,0,794,804,745,786,800,726,0.9444444444444444,1,0.8333333333333334,NA,NA,NA,NA,NA,NA
2021-12-18,Worcestershire Acute Hospitals NHS Trust,0.9985693848354793,1,0,736,766,699,730,754,698,0.9130434782608695,0.9615384615384616,0.8846153846153846,NA,NA,NA,NA,NA,NA
2021-12-18,"Wrightington, Wigan and Leigh NHS Foundation Trust",0,0,0,443.5,444,443,433,436,430,0.7727272727272727,0.8181818181818182,0.7272727272727273,167,169,165,38.5,41,36
2021-12-18,"Wrightington, Wigan And Leigh NHS Foundation Trust",0.8783783783783784,0.9264069264069265,0,446,462,444,427,428,390,0.6363636363636364,0.6363636363636364,0.5454545454545454,NA,NA,NA,NA,NA,NA
2021-12-18,Wye Valley NHS Trust,0,0.9401709401709402,0,244,257,225,220,245,207,1,1,0.75,NA,NA,NA,NA,NA,NA
2021-12-18,Yeovil District Hospital NHS Foundation Trust,0,0.9907407407407407,0,336,344,324,319,324,299,0.9,1,0.8,NA,NA,NA,NA,NA,NA
2021-12-18,York Teaching Hospital NHS Foundation Trust,0,0.8983402489626556,0,915,1012,895,828,886,823,0.8421052631578947,0.9444444444444444,0.7894736842105263,NA,NA,NA,NA,NA,NA
2021-12-19,Aintree University Hospital NHS Foundation Trust,0,0.9448373408769448,0,769,814,707,754,765,668,0.8260869565217391,1,0.6521739130434783,NA,NA,NA,NA,NA,NA
2021-12-19,Airedale NHS Foundation Trust,0,0.9378378378378378,0,345.5,370,336,337,347,319,0.8571428571428572,1,0.5714285714285714,NA,NA,NA,NA,NA,NA
2021-12-19,Alder Hey Children's NHS Foundation Trust,0,0.7388888888888889,0,197,203,180,151.5,156,133,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-19,Ashford and St Peter's Hospitals NHS Foundation Trust,0,0,0,453,459,447,436,454,418,0.7692307692307693,0.9230769230769231,0.6153846153846154,216.5,231,202,77,93,61
2021-12-19,Ashford And St Peter's Hospitals NHS Foundation Trust,0.49765807962529274,0.9953161592505855,0,429.5,432,427,421.5,425,418,0.8461538461538461,0.8461538461538461,0.8461538461538461,NA,NA,NA,NA,NA,NA
2021-12-19,"Barking, Havering and Redbridge University Hospitals NHS Trust",0,0,0,919,926,912,902,915,889,0.8557692307692307,0.8846153846153846,0.8269230769230769,372,388,356,139,148,130
2021-12-19,"Barking, Havering And Redbridge University Hospitals NHS Trust",0.47699530516431926,0.9539906103286385,0,988,1065,911,959.5,1016,903,0.830238726790451,0.8846153846153846,0.7758620689655172,NA,NA,NA,NA,NA,NA
2021-12-19,Barnsley Hospital NHS Foundation Trust,0,0.9806094182825484,0,399.5,444,361,391,436,354,0.8181818181818182,1,0.6363636363636364,NA,NA,NA,NA,NA,NA
2021-12-19,Barts Health NHS Trust,0,0.9573048699132756,0,1491,1579,1481,1434.5,1523,1430,0.9011764705882352,0.9262295081967213,0.8666666666666667,NA,NA,NA,NA,NA,NA
2021-12-19,Basildon and Thurrock University Hospitals NHS Foundation Trust,0,0,0,693.5,695,692,667.5,682,653,0.8529411764705883,0.9705882352941176,0.7352941176470589,255,260,250,74,85,63
2021-12-19,Basildon And Thurrock University Hospitals NHS Foundation Trust,0.5,1,0,731,753,709,730,753,707,0.8970588235294117,0.9117647058823529,0.8823529411764706,NA,NA,NA,NA,NA,NA
2021-12-19,Bedford Hospital NHS Trust,0,0.9175257731958762,0,383.5,401,371,356.5,400,340,0.6363636363636364,0.6363636363636364,0.45454545454545453,NA,NA,NA,NA,NA,NA
2021-12-19,Birmingham Children's Hospital NHS Foundation Trust,0.9029535864978903,0.9029535864978903,0.9029535864978903,237,237,237,214,214,214,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-19,Birmingham Women's and Children's NHS Foundation Trust,0,0,0,278,279,277,231.5,237,226,0.875,1,0.75,17,18,16,5.5,6,5
2021-12-19,Birmingham Women's And Children's NHS Foundation Trust,0,0,0,276,276,276,222,222,222,0.5,0.5,0.5,117,117,117,70,70,70
2021-12-19,Birmingham Women's NHS Foundation Trust,0.475,0.475,0.475,40,40,40,19,19,19,0.75,0.75,0.75,NA,NA,NA,NA,NA,NA
2021-12-19,Blackpool Teaching Hospitals NHS Foundation Trust,0,0.9634464751958225,0,737.5,800,685,701,771,616,0.8676470588235294,0.9117647058823529,0.8529411764705882,NA,NA,NA,NA,NA,NA
2021-12-19,Bolton NHS Foundation Trust,0,0.9251700680272109,0,591,626,562,558,592,534,0.8333333333333334,0.8888888888888888,0.6666666666666666,NA,NA,NA,NA,NA,NA
2021-12-19,Bradford Teaching Hospitals NHS Foundation Trust,0,0.9674220963172805,0,709.5,734,603,686.5,696,581,0.875,1,0.8125,NA,NA,NA,NA,NA,NA
2021-12-19,Brighton and Sussex University Hospitals NHS Trust,0,0,0,865,873,857,844.5,853,836,0.925531914893617,0.9361702127659575,0.9148936170212766,440,473,407,185,195,175
2021-12-19,Brighton And Sussex University Hospitals NHS Trust,0.46551724137931033,0.9310344827586207,0,836.5,841,832,793.5,804,783,0.8623158756137479,0.9361702127659575,0.7884615384615384,NA,NA,NA,NA,NA,NA
2021-12-19,Buckinghamshire Healthcare NHS Trust,0,0.9195612431444241,0,556,584,449,521.5,581,430,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-19,Burton Hospitals NHS Foundation Trust,0.5,1,0,340.5,341,340,334,340,328,0.6000000000000001,0.8,0.4,NA,NA,NA,NA,NA,NA
2021-12-19,Calderdale and Huddersfield NHS Foundation Trust,0,0,0,662,669,655,594.5,600,589,0.8076923076923077,0.9230769230769231,0.6923076923076923,261,279,243,79.5,87,72
2021-12-19,Calderdale And Huddersfield NHS Foundation Trust,0.4631578947368421,0.9263157894736842,0,673,681,665,615,616,614,0.6538461538461539,0.6923076923076923,0.6153846153846154,NA,NA,NA,NA,NA,NA
2021-12-19,Cambridge University Hospitals NHS Foundation Trust,0,0.9948051948051948,0,964,984,770,896,937,766,0.9376800209478922,0.9818181818181818,0.8769230769230769,NA,NA,NA,NA,NA,NA
2021-12-19,Central Manchester University Hospitals NHS Foundation Trust,0.9423240033927057,0.9423240033927057,0.9423240033927057,1179,1179,1179,1111,1111,1111,0.6825396825396826,0.6825396825396826,0.6825396825396826,NA,NA,NA,NA,NA,NA
2021-12-19,Chelsea and Westminster Hospital NHS Foundation Trust,0,0,0,678,699,657,657,666,648,0.975,1,0.95,258,374,142,96.5,142,51
2021-12-19,Chelsea And Westminster Hospital NHS Foundation Trust,0.49212034383954156,0.9842406876790831,0,696.5,698,695,670,687,653,0.8299595141700404,0.9230769230769231,0.7368421052631579,NA,NA,NA,NA,NA,NA
2021-12-19,Chesterfield Royal Hospital NHS Foundation Trust,0,0.9636363636363636,0,501.5,550,461,475,530,437,0.8666666666666667,1,0.6666666666666666,NA,NA,NA,NA,NA,NA
2021-12-19,City Hospitals Sunderland NHS Foundation Trust,0,0.9089692101740294,0,747,758,727,676,679,630,0.7222222222222222,0.8888888888888888,0.5555555555555556,NA,NA,NA,NA,NA,NA
2021-12-19,Colchester Hospital University NHS Foundation Trust,0.49735915492957744,0.9947183098591549,0,581.5,595,568,577.5,590,565,0.9230769230769231,0.9230769230769231,0.9230769230769231,NA,NA,NA,NA,NA,NA
2021-12-19,Countess of Chester Hospital NHS Foundation Trust,0,0,0,467.5,468,467,450,454,446,0.8666666666666667,0.9333333333333333,0.8,260.5,282,239,92,97,87
2021-12-19,Countess Of Chester Hospital NHS Foundation Trust,0.47235023041474655,0.9447004608294931,0,472.5,511,434,450.5,491,410,0.7333333333333334,0.8,0.6666666666666666,NA,NA,NA,NA,NA,NA
2021-12-19,County Durham and Darlington NHS Foundation Trust,0,0,0,886.5,888,885,803,819,787,0.8095238095238095,0.8571428571428571,0.7619047619047619,352.5,356,349,107.5,117,98
2021-12-19,County Durham And Darlington NHS Foundation Trust,0.4448315911730546,0.8896631823461092,0,875.5,890,861,751.5,766,737,0.7297619047619048,0.8095238095238095,0.65,NA,NA,NA,NA,NA,NA
2021-12-19,Croydon Health Services NHS Trust,0.49686192468619245,1,0,460,478,450,456,475,450,1,1,0.8571428571428571,NA,NA,NA,NA,NA,NA
2021-12-19,Dartford and Gravesham NHS Trust,0,0,0,514,521,507,478.5,481,476,0.95,1,0.9,219,226,212,73.5,81,66
2021-12-19,Dartford And Gravesham NHS Trust,0.4875239923224568,0.9750479846449136,0,527,533,521,513.5,519,508,1,1,1,NA,NA,NA,NA,NA,NA
2021-12-19,Derby Hospitals NHS Foundation Trust,0.8928901200369345,0.8928901200369345,0.8928901200369345,1083,1083,1083,967,967,967,0.7555555555555555,0.7555555555555555,0.7555555555555555,NA,NA,NA,NA,NA,NA
2021-12-19,Derby Teaching Hospitals NHS Foundation Trust,0,0,0,1088,1088,1088,964,964,964,0.8444444444444444,0.8444444444444444,0.8444444444444444,406,406,406,160,160,160
2021-12-19,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,0.9286640726329443,0.9286640726329443,0.9286640726329443,771,771,771,716,716,716,0.88,0.88,0.88,NA,NA,NA,NA,NA,NA
2021-12-19,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,0,0,0,738,744,732,695.5,705,686,0.96,1,0.92,273,280,266,71.5,78,65
2021-12-19,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,0,0,0,716,716,716,684,684,684,0.75,0.75,0.75,232,232,232,129,129,129
2021-12-19,Dorset County Hospital NHS Foundation Trust,0,0.8108108108108109,0,297,302,281,275,294,240,0.875,1,0.75,NA,NA,NA,NA,NA,NA
2021-12-19,East and North Hertfordshire NHS Trust,0,0,0,545.5,546,545,529.5,534,525,0.8694444444444445,0.8888888888888888,0.85,193,225,161,63.5,65,62
2021-12-19,East And North Hertfordshire NHS Trust,NA,NA,NA,567,567,567,560,560,560,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-19,East Cheshire NHS Trust,0,0.9353448275862069,0,254.5,332,232,244.5,326,217,0.75,1,0.3333333333333333,NA,NA,NA,NA,NA,NA
2021-12-19,East Kent Hospitals University NHS Foundation Trust,0,0.974155069582505,0,992.5,1018,927,939,980,869,0.787037037037037,0.9,0.7096774193548387,NA,NA,NA,NA,NA,NA
2021-12-19,East Lancashire Hospitals NHS Trust,0,0.9439834024896265,0,956,964,947,910,911,902,0.8541666666666667,0.9166666666666666,0.6666666666666666,NA,NA,NA,NA,NA,NA
2021-12-19,East Suffolk and North Essex NHS Foundation Trust,0,0,0,1175,1191,1159,1120,1128,1112,0.8636363636363636,0.8636363636363636,0.8636363636363636,391,415,367,116,122,110
2021-12-19,East Sussex Healthcare NHS Trust,0,0.9824817518248176,0,738,769,685,723.5,725,673,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-19,Epsom and St Helier University Hospitals NHS Trust,0,0,0,773,775,771,638,659,617,0.7619047619047619,0.8571428571428571,0.6666666666666666,282,300,264,119.5,121,118
2021-12-19,Epsom And St Helier University Hospitals NHS Trust,0.4992138364779874,0.9984276729559748,0,730,824,636,661.5,688,635,0.9047619047619048,1,0.8095238095238095,NA,NA,NA,NA,NA,NA
2021-12-19,Frimley Health NHS Foundation Trust,0,0.9946605644546148,0,1311,1326,1278,1274,1304,1257,0.9791666666666667,1,0.7916666666666666,NA,NA,NA,NA,NA,NA
2021-12-19,Gateshead Health NHS Foundation Trust,0,0.9383259911894273,0,454,483,436,427,458,404,0.8214285714285714,0.9166666666666666,0.6428571428571429,NA,NA,NA,NA,NA,NA
2021-12-19,George Eliot Hospital NHS Trust,0,0.975609756097561,0,308.5,322,287,297,314,280,0.875,1,0.75,NA,NA,NA,NA,NA,NA
2021-12-19,Gloucestershire Hospitals NHS Foundation Trust,0,0.933678756476684,0,948.5,965,936,888,901,854,0.8528708133971292,1,0.7777777777777778,NA,NA,NA,NA,NA,NA
2021-12-19,Great Ormond Street Hospital For Children NHS Foundation Trust,0.9025270758122743,0.9025270758122743,0.9025270758122743,277,277,277,250,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-19,Great Western Hospitals NHS Foundation Trust,0,0.9253112033195021,0,516,588,482,497,564,446,0.7916666666666667,0.9166666666666666,0.5833333333333334,NA,NA,NA,NA,NA,NA
2021-12-19,Guy's and St Thomas' NHS Foundation Trust,0,0,0,831.5,886,777,745.5,777,714,0.9443782576321669,0.9647058823529412,0.9240506329113924,286,296,276,117.5,124,111
2021-12-19,Guy's And St Thomas' NHS Foundation Trust,0.45714285714285713,0.9142857142857143,0,802.5,840,765,743.5,768,719,0.9390243902439024,0.9512195121951219,0.926829268292683,NA,NA,NA,NA,NA,NA
2021-12-19,Hampshire Hospitals NHS Foundation Trust,0,0.8571428571428571,0,809.5,861,722,708,738,667,0.8079710144927537,0.8695652173913043,0.6086956521739131,NA,NA,NA,NA,NA,NA
2021-12-19,Harrogate and District NHS Foundation Trust,0,0,0,301.5,309,294,283.5,290,277,0.6875,0.875,0.5,142,161,123,56,76,36
2021-12-19,Harrogate And District NHS Foundation Trust,0.4790996784565916,0.9581993569131833,0,304.5,311,298,286,298,274,0.75,0.875,0.625,NA,NA,NA,NA,NA,NA
2021-12-19,Heart Of England NHS Foundation Trust,0.47811725846407926,0.9562345169281585,0,1240.5,1270,1211,1174.5,1191,1158,0.9310344827586207,0.9310344827586207,0.9310344827586207,NA,NA,NA,NA,NA,NA
2021-12-19,Hinchingbrooke Health Care NHS Trust,0.9337016574585635,0.9337016574585635,0.9337016574585635,181,181,181,169,169,169,1,1,1,NA,NA,NA,NA,NA,NA
2021-12-19,Homerton University Hospital NHS Foundation Trust,0,0.875,0,248,248,229,218,227,216,1,1,1,NA,NA,NA,NA,NA,NA
2021-12-19,Hull and East Yorkshire Hospitals NHS Trust,0,0,0,1001,1001,1001,975,975,975,0.8181818181818182,0.8181818181818182,0.8181818181818182,349,349,349,115,115,115
2021-12-19,Hull And East Yorkshire Hospitals NHS Trust,0.4308300395256917,0.8616600790513834,0,1001,1012,990,888,904,872,0.7436363636363637,0.76,0.7272727272727273,NA,NA,NA,NA,NA,NA
2021-12-19,Hull University Teaching Hospitals NHS Trust,0,0,0,1023,1023,1023,987,987,987,0.75,0.75,0.75,359,359,359,96,96,96
2021-12-19,Imperial College Healthcare NHS Trust,0,0.9589322381930184,0,1002.5,1049,923,957.5,996,884,0.9652777777777778,1,0.9339622641509434,NA,NA,NA,NA,NA,NA
2021-12-19,Ipswich Hospital NHS Trust,0.48519736842105265,0.9703947368421053,0,624,640,608,607.5,625,590,0.6666666666666666,1,0.3333333333333333,NA,NA,NA,NA,NA,NA
2021-12-19,Isle of Wight NHS Trust,0,0,0,232,240,224,221.5,222,221,0.9166666666666667,1,0.8333333333333334,120.5,124,117,47.5,52,43
2021-12-19,Isle Of Wight NHS Trust,0.5,1,0,249,252,246,247.5,252,243,0.75,0.8333333333333334,0.6666666666666666,NA,NA,NA,NA,NA,NA
2021-12-19,James Paget University Hospitals NHS Foundation Trust,0.48604651162790696,1,0,424.5,461,393,411,461,352,0.7916666666666667,0.9166666666666666,0.75,NA,NA,NA,NA,NA,NA
2021-12-19,Kettering General Hospital NHS Foundation Trust,0,0.9983471074380166,0,575.5,605,528,568.5,604,506,0.9166666666666666,1,0.75,NA,NA,NA,NA,NA,NA
2021-12-19,King's College Hospital NHS Foundation Trust,0,0.997789240972734,0,1346,1357,1331,1331.5,1354,1321,0.9322916666666667,0.96875,0.90625,NA,NA,NA,NA,NA,NA
2021-12-19,Kingston Hospital NHS Foundation Trust,0,0.947103274559194,0,389,397,364,375.5,388,361,0.8511904761904762,0.9166666666666666,0.7142857142857143,NA,NA,NA,NA,NA,NA
2021-12-19,Lancashire Teaching Hospitals NHS Foundation Trust,0.4884659746251442,1,0,851.5,907,815,832,891,815,0.8300691244239631,0.896551724137931,0.75,NA,NA,NA,NA,NA,NA
2021-12-19,Leeds Teaching Hospitals NHS Trust,0,0.9549278846153846,0,1728.5,1772,1664,1677.5,1719,1589,0.8096879535558781,0.9339622641509434,0.6442307692307693,NA,NA,NA,NA,NA,NA
2021-12-19,Lewisham and Greenwich NHS Trust,0,0,0,865,872,858,832,859,805,0.8737373737373737,0.9696969696969697,0.7777777777777778,401.5,421,382,177.5,195,160
2021-12-19,Lewisham And Greenwich NHS Trust,0.49209245742092456,0.9841849148418491,0,830,838,822,819.5,830,809,0.7331871345029239,0.8611111111111112,0.6052631578947368,NA,NA,NA,NA,NA,NA
2021-12-19,Liverpool Heart And Chest Hospital NHS Foundation Trust,0.8551724137931035,0.8551724137931035,0.8551724137931035,145,145,145,124,124,124,0.6176470588235294,0.6176470588235294,0.6176470588235294,NA,NA,NA,NA,NA,NA
2021-12-19,Liverpool University Hospitals NHS Foundation Trust,0,0,0,1629,1629,1629,1530,1530,1530,0.8983050847457628,0.8983050847457628,0.8983050847457628,687,687,687,311,311,311
2021-12-19,Liverpool Women's NHS Foundation Trust,0.7640449438202247,0.7640449438202247,0.7640449438202247,89,89,89,68,68,68,0,0,0,NA,NA,NA,NA,NA,NA
2021-12-19,London North West Healthcare NHS Trust,0.49902439024390244,0.9980487804878049,0,1071.5,1118,1025,1064,1105,1023,0.7727272727272727,0.7878787878787878,0.7575757575757576,NA,NA,NA,NA,NA,NA
2021-12-19,London North West University Healthcare NHS Trust,0.5,1,0,1090,1092,1088,1075,1088,1062,0.8636363636363636,0.8787878787878788,0.8484848484848485,522,539,505,183.5,203,164
